[18-Jul-2016 01:22:56 UTC] PHP Warning:  require(/home/ubuntu/workspace/atarcoach/bootstrap/../vendor/autoload.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/atarcoach/bootstrap/autoload.php on line 17
[08-Aug-2016 03:07:18 UTC] PHP  32. call_user_func_array:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[08-Aug-2016 03:07:18 UTC] PHP  33. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[08-Aug-2016 03:07:18 UTC] PHP  34. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:64
[08-Aug-2016 03:07:18 UTC] PHP  35. call_user_func:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[08-Aug-2016 03:07:18 UTC] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[08-Aug-2016 03:07:18 UTC] PHP  37. call_user_func_array:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[08-Aug-2016 03:07:18 UTC] PHP  38. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[08-Aug-2016 03:07:18 UTC] PHP  39. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[08-Aug-2016 03:07:18 UTC] PHP  40. call_user_func:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[08-Aug-2016 03:07:18 UTC] PHP  41. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[08-Aug-2016 03:07:18 UTC] PHP  42. call_user_func_array:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[08-Aug-2016 03:07:18 UTC] PHP  43. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[08-Aug-2016 03:07:18 UTC] PHP  44. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:64
[08-Aug-2016 03:07:18 UTC] PHP  45. call_user_func:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[08-Aug-2016 03:07:18 UTC] PHP  46. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[08-Aug-2016 03:07:18 UTC] PHP  47. call_user_func_array:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[08-Aug-2016 03:07:18 UTC] PHP  48. Illuminate\Routing\Middleware\ThrottleRequests->handle() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[08-Aug-2016 03:07:18 UTC] PHP  49. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Middleware/ThrottleRequests.php:48
[08-Aug-2016 03:07:18 UTC] PHP  50. call_user_func:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[08-Aug-2016 03:07:18 UTC] PHP  51. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[08-Aug-2016 03:07:18 UTC] PHP  52. Illuminate\Routing\Route->run() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Router.php:724
[08-Aug-2016 03:07:18 UTC] PHP  53. Illuminate\Routing\Route->runController() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Route.php:140
[08-Aug-2016 03:07:18 UTC] PHP  54. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Route.php:174
[08-Aug-2016 03:07:18 UTC] PHP  55. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:54
[08-Aug-2016 03:07:18 UTC] PHP  56. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:96
[08-Aug-2016 03:07:18 UTC] PHP  57. call_user_func:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[08-Aug-2016 03:07:18 UTC] PHP  58. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[08-Aug-2016 03:07:18 UTC] PHP  59. call_user_func:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[08-Aug-2016 03:07:18 UTC] PHP  60. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[08-Aug-2016 03:07:18 UTC] PHP  61. Illuminate\Routing\ControllerDispatcher->call() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:94
[08-Aug-2016 03:07:18 UTC] PHP  62. Illuminate\Routing\Controller->callAction() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:146
[08-Aug-2016 03:07:18 UTC] PHP  63. call_user_func_array:{/home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:80}() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:80
[08-Aug-2016 03:07:18 UTC] PHP  64. App\Http\Controllers\AdminController->index() /home/ubuntu/workspace/atarcoach/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:80
